StageID,Lane,Season,BlockID_1,BlockID_2,BlockID_3,BlockID_4,BlockID_5,BlockID_6,BlockID_7,BlockID_8,BlockID_9,BlockID_10,BlockID_11,BlockID_12,BlockID_13,BlockID_14,BlockID_15,BlockID_16,BlockID_17,BlockID_18,BlockID_19,BlockID_20,BlockID_21,BlockID_22,BlockID_23,BlockID_24,BlockID_25,BlockID_26,BlockID_27,BlockID_28,BlockID_29,BlockID_30,,,,,,,,,,,,,,,,,,,,
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,,,,,,,,,,,,,,,,,,
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
-1,0,1,0,1,0,0,1,1,1,2,1,1,4,0,0,1,5,1,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,1,1,0,0,1,0,4,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,2,1,0,0,0,1,4,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,4,2,0,0,2,0,4,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,1,2,0,0,0,99,,,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,-1,-1,-1,0,,,,,,,,,,,,,,,,,,,,,
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
